,0
643,32154
644,32204
645,32254
646,32304
647,32354
648,32404
649,32454
650,32504
651,32554
652,32604
653,32654
654,32704
655,32754
656,32804
657,32854
658,32904
659,32954
660,33004
661,33054
662,33104
663,33154
664,33204
665,33254
666,33304
667,33354
668,33404
669,33454
670,33504
671,33554
672,33604
673,33654
674,33704
675,33754
676,33804
677,33854
678,33904
679,33954
680,34004
681,34054
682,34104
683,34154
684,34204
685,34254
686,34304
687,34354
688,34404
689,34454
690,34504
691,34554
692,34604
693,34654
694,34704
695,34754
696,34804
697,34854
698,34904
699,34954
700,35004
701,35054
702,35104
703,35154
704,35204
705,35254
706,35310
707,35360
708,35410
709,35460
710,35510
711,35560
712,35610
713,35660
714,35710
715,35760
716,35810
717,35860
718,35910
719,35960
720,36010
721,36060
722,36110
723,36160
724,36210
725,36260
726,36310
727,36360
728,36410
729,36464
730,36515
731,36565
732,36615
733,36665
734,36715
735,36765
736,36815
737,36865
738,36915
739,36965
740,37015
741,37065
742,37115
743,37165
744,37215
745,37265
746,37315
747,37365
748,37415
749,37465
750,37516
751,37566
752,37616
753,37666
754,37716
755,37766
756,37816
757,37866
758,37916
759,37966
760,38016
761,38066
762,38116
763,38166
764,38216
765,38267
766,38317
767,38367
768,38417
769,38467
770,38517
771,38567
772,38617
773,38667
774,38717
775,38767
776,38817
777,38867
778,38917
779,38967
780,39017
781,39067
782,39117
783,39167
784,39217
785,39267
786,39317
787,39367
788,39417
789,39467
790,39519
791,39569
792,39619
793,39669
794,39719
795,39769
796,39819
797,39869
798,39919
799,39969
800,40019
801,40073
802,40123
803,40173
804,40223
805,40273
806,40323
807,40373
808,40423
809,40473
810,40523
811,40573
812,40623
813,40673
814,40723
815,40773
816,40823
817,40873
818,40923
819,40973
820,41023
821,41073
822,41124
823,41181
824,41231
825,41281
826,41331
827,41381
828,41431
829,41481
830,41531
831,41581
832,41631
833,41681
834,41731
835,41781
836,41831
837,41881
838,41931
839,41981
840,42031
841,42081
842,42131
843,42181
844,42247
845,42297
846,42347
847,42397
848,42447
849,42497
850,42551
851,42601
852,42653
853,42703
854,42753
855,42805
856,42856
857,42906
858,42956
859,43006
860,43056
861,43106
862,43156
863,43206
864,43256
865,43306
866,43358
867,43408
868,43458
869,43508
870,43558
871,43608
872,43658
873,43708
874,43758
875,43808
876,43860
877,43919
878,43969
879,44019
880,44069
881,44119
882,44169
883,44219
884,44269
885,44319
886,44369
887,44419
888,44469
889,44519
890,44578
891,44628
892,44678
893,44728
894,44778
895,44828
896,44878
897,44928
898,44979
899,45029
900,45079
901,45130
902,45180
903,45230
904,45280
905,45330
906,45380
907,45430
908,45480
909,45530
910,45580
911,45630
912,45680
913,45730
914,45780
915,45830
916,45880
917,45930
918,45980
919,46030
920,46080
921,46130
922,46181
923,46231
924,46281
925,46331
926,46381
927,46431
928,46481
929,46531
930,46581
931,46631
932,46681
933,46731
934,46781
935,46831
936,46890
937,47014
938,47064
939,47114
940,47164
941,47214
942,47264
943,47314
944,47373
945,47426
946,47476
947,47526
948,47576
949,47626
950,47676
951,47732
952,47782
953,47832
954,47884
955,47934
956,47984
